"esquema";"cp";"entidad";"2022";"2021";"2020";"2019";"2018";"2017";"2016";"2015"
"1001";"14001";"Adamuz";"4125";"4141";"4137";"4192";"4185";"4236";"4270";"4317"
"1002";"14002";"Aguilar de la Frontera";"13318";"13398";"13382";"13328";"13438";"13476";"13511";"13551"
"1003";"14003";"Alcaracejos";"1493";"1481";"1470";"1486";"1473";"1496";"1495";"1523"
"1004";"14004";"Almedinilla";"2350";"2352";"2370";"2391";"2409";"2455";"2431";"2455"
"1005";"14005";"Almodóvar del Río";"8093";"8036";"7932";"7937";"7964";"7982";"7948";"7961"
"1006";"14006";"Añora";"1509";"1526";"1530";"1527";"1524";"1553";"1558";"1563"
"1007";"14007";"Baena";"18764";"18885";"19045";"19284";"19338";"19523";"19782";"19802"
"1008";"14008";"Belalcázar";"3166";"3207";"3235";"3255";"3273";"3336";"3391";"3437"
"1009";"14009";"Belmez";"2862";"2905";"2921";"2923";"2964";"2913";"3062";"3119"
"1010";"14010";"Benamejí";"4974";"4982";"4963";"4966";"4975";"5025";"5035";"5060"
"1011";"14011";"Los Blázquez";"661";"659";"664";"661";"681";"691";"695";"703"
"1012";"14012";"Bujalance";"7257";"7316";"7320";"7417";"7537";"7599";"7638";"7693"
"1013";"14013";"Cabra";"20097";"20245";"20347";"20341";"20417";"20557";"20704";"20837"
"1014";"14014";"Cañete de las Torres";"2859";"2888";"2923";"2933";"2969";"3000";"2992";"3010"
"1015";"14015";"Carcabuey";"2367";"2374";"2371";"2412";"2454";"2471";"2529";"2595"
"1016";"14016";"Cardeña";"1455";"1473";"1471";"1490";"1503";"1532";"1552";"1604"
"1017";"14017";"La Carlota";"14324";"14228";"14079";"14061";"14067";"14010";"13936";"13929"
"1018";"14018";"El Carpio";"4353";"4382";"4363";"4383";"4457";"4480";"4500";"4496"
"1019";"14019";"Castro del Río";"7711";"7740";"7767";"7809";"7834";"7881";"7917";"7972"
"1020";"14020";"Conquista";"380";"372";"366";"379";"401";"418";"430";"438"
"1021";"14021";"Córdoba";"319515";"322071";"326039";"325701";"325708";"325916";"326609";"327362"
"1022";"14022";"Doña Mencía";"4583";"4603";"4615";"4638";"4684";"4718";"4789";"4882"
"1023";"14023";"Dos Torres";"2402";"2399";"2394";"2411";"2416";"2426";"2453";"2457"
"1024";"14024";"Encinas Reales";"2266";"2256";"2254";"2254";"2285";"2297";"2324";"2343"
"1025";"14025";"Espejo";"3245";"3272";"3289";"3329";"3333";"3375";"3410";"3443"
"1026";"14026";"Espiel";"2423";"2424";"2405";"2397";"2438";"2474";"2487";"2508"
"1027";"14027";"Fernán-Núñez";"9646";"9667";"9651";"9663";"9668";"9680";"9712";"9713"
"1078";"14901";"Fuente Carreteros";"1109";"1133";"1148";"1131";"";"";"";""
"1028";"14028";"Fuente la Lancha";"329";"337";"342";"351";"350";"345";"355";"377"
"1029";"14029";"Fuente Obejuna";"4462";"4505";"4501";"4604";"4651";"4734";"4796";"4894"
"1030";"14030";"Fuente Palmera";"9879";"9803";"9766";"9783";"10817";"10871";"10893";"10895"
"1031";"14031";"Fuente-Tójar";"663";"676";"666";"672";"680";"705";"711";"721"
"1032";"14032";"La Granjuela";"414";"432";"439";"461";"456";"474";"486";"482"
"1033";"14033";"Guadalcázar";"1552";"1562";"1559";"1583";"1578";"1605";"1591";"1566"
"1080";"14902";"La Guijarrosa";"1341";"1365";"1379";"1399";"";"";"";""
"1034";"14034";"El Guijo";"344";"349";"352";"355";"353";"355";"365";"372"
"1035";"14035";"Hinojosa del Duque";"6640";"6684";"6707";"6788";"6868";"6922";"6989";"7054"
"1036";"14036";"Hornachuelos";"4450";"4517";"4480";"4497";"4541";"4575";"4598";"4642"
"1037";"14037";"Iznájar";"4002";"4106";"4134";"4261";"4343";"4405";"4461";"4556"
